Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 05:37:55.285,p1,A2,dest-plate-001,A1,completed
2025-05-11 05:37:58.126,p1,B5,dest-plate-001,A2,completed
,p1,D10,dest-plate-001,A4,started
2025-05-11 05:38:07.570,p1,E7,dest-plate-001,A6,completed
2025-05-11 05:38:28.945,p1,A6,dest-plate-001,D6,completed
2025-05-11 05:38:30.018,p2,A2,dest-plate-001,D4,completed
2025-05-11 05:38:31.033,p2,A3,dest-plate-001,D7,completed
2025-05-11 05:38:32.033,p2,A4,dest-plate-001,D8,completed
2025-05-11 05:38:33.765,p2,A5,dest-plate-001,D9,completed
,p3,B6,dest-plate-001,D10,uncompleted
,p3,B5,dest-plate-001,B3,uncompleted
,p3,H1,dest-plate-001,B12,uncompleted
,p3,H2,dest-plate-001,B10,uncompleted
,p3,H3,dest-plate-001,B9,uncompleted
